title,url,type,date,excerpt
Announcing HackAPrompt 2.0: The World’s Largest AI Red-Teaming Hackathon,https://learnprompting.org/blog/announce-hackaprompt-2,Announcement,,"Join HackAPrompt 2.0, the largest AI red-teaming competition ever! Test vulnerabilities in AI systems across 5 tracks with $500K in prizes."
A Complete Guide to Apple Intelligence: 10 Essential Features You Need to Know,https://learnprompting.org/blog/apple-intelligence-guide,Listicle,,"How to use Apple Intelligence? Simplify tasks, summarize messages, rewrite text, and create custom emojis. Smarter, faster, and more fun on Apple devices!"
A Complete How-To Guide to Google Gemini,https://learnprompting.org/blog/guide-google-gemini,"Guide, AI Tools",,"Discover Google Gemini, an AI chatbot that uses multimodal capabilities and Google Search to simplify tasks like handling text, images, and audio."
A Complete How-To Guide to Suno: The Easiest Way to Create Personalized Music,https://learnprompting.org/blog/guide-suno,"Guide, AI Tools",,"Discover how Suno AI makes music creation simple and fun. From custom soundtracks to personalized gifts, unleash your creativity with ease."
"Inside Apple Intelligence: Key Features, Integration with ChatGPT and Privacy Concerns",https://learnprompting.org/blog/apple_intelligence,"Guide, AI Tools",,"Plus, a Brief History of AI at Apple"
LLM Parameters Explained: A Practical Guide with Examples for OpenAI API in Python,https://learnprompting.org/blog/llm-parameters,"Guide, Prompt Engineering",,"Master LLM parameters like temperature, top-p, penalties, and stop sequences to optimize text generation for creative, technical, or structured tasks."
Prompt Engineering vs. Fine-Tuning: How to Choose the Right Approach for Your Needs,https://learnprompting.org/blog/prompt-engineering-vs-fine-tuning,"Guide, Prompt Engineering",,Discover the differences between prompt engineering and fine-tuning as effective techniques for adapting large language models to specific tasks.
What is Prompt Engineering? How and Why Does It Work?,https://learnprompting.org/blog/what-is-prompt-engineering,"Guide, Prompt Engineering",,"Learn how prompt engineering works, why it matters, and how to get started. Understand the importance of phrasing your instructions, and explore techniques like few-shot prompting, chain-of-thought, and role prompting."
GPT-4o Image Generation: A Complete Guide + 12 Prompt Examples,https://learnprompting.org/blog/guide-openai-4o-image-generation,"Guide, AI Tools",,"OpenAI has released GPT-4o Image Generation, which is probably the most advanced, natively multimodal image generator to date. In this guide, we'll explore a variety of applications for GPT-4o image generation and provide detailed prompt examples to help you create the exact image you envision."
Microsoft AI Copilot Exposing Code from Private GitHub Repositories,https://learnprompting.org/blog/microsoft-ai-copilot-exposing-code-from-private-github-repositories,"Guide, AI Safety",,"Lasso Security's investigation reveals Microsoft's AI assistant can access private GitHub repositories through cached data, raising major security concerns"
New Ways to Hack AI Assistants in Blockchain: How Context Manipulation Works,https://learnprompting.org/blog/context-manipulation-attacks-in-ai-agents-blockchain,"Guide, AI Safety",,Researchers discovered new ways to trick AI assistants in blockchain systems. Learn how these attacks work and why they matter for the future of AI security.
Prompt Injection Exploits in ChatGPT Operator,https://learnprompting.org/blog/prompt-injection-exploits-in-chatgpt-operator,"Guide, AI Safety",,"A detailed analysis of how ChatGPT Operator can be exploited through prompt injection, including real-world attack scenarios and defense mechanisms."
Understanding Fun-Tuning: How Researchers Found a New Way to Hack AI Models,https://learnprompting.org/blog/fun-tuning-prompt-hacking-gemini-by-exploiting-gemini-free-api,"Guide, AI Safety",,An explanation of how researchers discovered a systematic way to make AI models ignore their safety guardrails by exploiting fine-tuning APIs
What is AI Red Teaming?,https://learnprompting.org/blog/what-is-ai-red-teaming,"Guide, AI Safety",,Explore the key differences between prompt injection and jailbreaking in AI security.
Hacking ChatGPT's Memory System using Prompt Injection,https://learnprompting.org/blog/prompt-injection-hacking-chatgpt-memories,"Guide, AI Safety",,"A technical analysis of ChatGPT's memory feature, its implementation, and potential security implications through prompt injection techniques."
How Private Is Apple Intelligence? Here’s What You Need to Know,https://learnprompting.org/blog/apple-intelligence-ai-privacy,"Guide, AI Safety",,"Explore how Apple ensures AI privacy with on-device processing and Private Cloud Compute, designed to keep your data safe."
How To Use Canvas Feature in ChatGPT?,https://learnprompting.org/blog/how-to-use-openai-canvas-chatgpt,Listicle,,"Learn how to harness ChatGPT's Canvas tool for collaborative editing, text refining, coding assistance, and streamlined project workflows."
10 Best Online Prompt Engineering Courses [Free & Paid] with Certificates,https://learnprompting.org/blog/prompt_engineering_courses,Listicle,,Make the most out of your chatbot or language model by learning prompt engineering with these online courses.
"10 Must-Know AI Insights from Dario Amodei, CEO of Anthropic",https://learnprompting.org/blog/anthropic-ceo-ai-insights,Listicle,,"Highlights from Dario Amodei's 5-hour Lex Fridman Podcast on AI's challenges, safety, and scaling."
14 Perplexity AI Use Cases: The Search Engine You Didn’t Know Could Do So Much,https://learnprompting.org/blog/perplexity_use_cases,Listicle,,The Search Engine You Didn’t Know Could Do So Much
Best Free AI Image Generators in 2025,https://learnprompting.org/blog/best-free-ai-image-generator,Listicle,,"Discover the top free AI image generators of 2025! Learn how these tools can help you create stunning visuals effortlessly, no artistic skills required."
"The Future of AI: 3 Key Takeaways from Kevin Weil, CPO at OpenAI",https://learnprompting.org/blog/ai_future_,Listicle,,"Spanning AI research, industry trends, politics, and safety."
Top 15 Online ChatGPT Courses [Free & Paid],https://learnprompting.org/blog/chatgpt-intro-courses,Listicle,,"Explore 15 courses for learning how to master ChatGPT for everyday tasks, both personal and professional."
Top 20 Generative AI Courses [Free & Paid],https://learnprompting.org/blog/generative-ai-courses,Listicle,,"Discover the 20 best online courses on generative AI, suitable for all experience levels and budgets."
Top 29 Online Courses for Mastering Large Language Models (LLMs) [Free & Paid],https://learnprompting.org/blog/large-language-models-courses,Listicle,,"Explore the top 29 online courses to master Large Language Models (LLMs), including free and paid options, covering everything from basics to advanced techniques."
How to Use ChatGPT for Resume Creation: 9 Applications with Prompt Templates: Your Ultimate Guide to AI-Powered Job Applications,https://learnprompting.org/blog/resume_prompts,Listicle,,Your Ultimate Guide to Resume Creation with AI
How To Use ChatGPT Search?,https://learnprompting.org/blog/how-to-use-openai-chatgpt-search,Listicle,,"Discover how to integrate real-time web data into ChatGPT for timely, sourced answers, streamlining research and eliminating tab hopping."
How To Use ChatGPT's Advanced Voice Mode?,https://learnprompting.org/blog/how-to-use-openai-chatgpt-advanced-voice-mode,Listicle,,"Learn to engage with ChatGPT through natural speech, share visuals, and run code interactively, enhancing conversations with richer, dynamic content."
